drive,stop_distance,k_cross,k_heading,success,reason,cross_track_m,endpoint_distance_m,terminal_speed_mps,steps
0.65,1.2,1.2,1.5,1,0,0.10496580600738525,0.10641267895698547,0.09762407094240189,433
0.65,0.8,1.2,1.5,1,0,0.004261178895831108,0.05872653052210808,0.09409314393997192,435
0.65,0.8,1.2,1.5,1,0,0.0002951286733150482,0.06137993559241295,0.09477609395980835,437
0.65,1.6,0.6,1.5,1,0,0.147765651345253,0.1681210994720459,0.09893528372049332,438
0.65,1.6,0.6,1.5,1,0,0.09433019906282425,0.14931942522525787,0.0997343435883522,443
0.65,1.6,0.6,1.5,1,0,0.059133656322956085,0.15000759065151215,0.09964285790920258,447
0.65,1.2,0.6,1.5,1,0,0.0684986561536789,0.07103564590215683,0.09854204207658768,449
0.65,1.2,0.6,1.5,1,0,0.06547389179468155,0.06895574927330017,0.0965118557214737,449
0.65,1.6,0.6,1.5,1,0,0.03844807296991348,0.14025261998176575,0.0958099290728569,453
0.65,1.6,0.6,1.5,1,0,0.014631311409175396,0.14641276001930237,0.09708280861377716,457
0.65,1.6,1.2,1.5,1,0,0.16049997508525848,0.17885158956050873,0.09935013204813004,465
0.65,1.6,1.2,1.5,1,0,0.08558806777000427,0.17185091972351074,0.09650234133005142,465
0.65,1.6,1.2,1.5,1,0,0.13139131665229797,0.18442729115486145,0.09972528368234634,467
0.65,1.6,1.2,1.5,1,0,0.06450812518596649,0.17399442195892334,0.09912363439798355,468
0.65,0.8,0.6,0.8,1,0,0.021444939076900482,0.1547599583864212,0.09835390001535416,469
0.65,1.6,0.6,1.5,1,0,0.03916022181510925,0.15362809598445892,0.09967251867055893,470
0.65,1.2,0.6,1.5,1,0,0.06510110199451447,0.12493687868118286,0.09929560124874115,474
0.65,1.2,0.6,1.5,1,0,0.08351867645978928,0.08385521918535233,0.09293775260448456,475
0.65,1.2,0.6,1.5,1,0,0.06717988848686218,0.15453945100307465,0.09935437887907028,475
0.65,0.8,1.2,1.5,1,0,0.048552799969911575,0.1031625047326088,0.0975911095738411,478
0.65,1.2,0.6,0.8,1,0,0.014297679997980595,0.016204556450247765,0.09980850666761398,479
0.65,1.6,0.6,1.5,1,0,0.10414760559797287,0.19486676156520844,0.09871416538953781,481
0.65,1.6,0.6,1.5,1,0,0.15875843167304993,0.17114385962486267,0.09784788638353348,482
0.65,1.2,1.2,0.8,1,0,0.10432259738445282,0.105986088514328,0.09925560653209686,485
0.65,1.6,0.6,0.8,1,0,0.11324263364076614,0.11426474153995514,0.0955008864402771,491
0.65,1.6,1.2,0.8,1,0,0.09249091148376465,0.0934477373957634,0.0990121066570282,492
0.65,1.6,0.6,1.5,1,0,0.13817237317562103,0.1990749090909958,0.09690666198730469,499
0.65,1.6,1.2,0.8,1,0,0.137170672416687,0.19891279935836792,0.09971621632575989,500
0.65,1.6,0.6,0.8,1,0,0.06468850374221802,0.07136615365743637,0.09964122623205185,501
0.65,1.6,0.6,0.8,1,0,0.030090605840086937,0.05612368509173393,0.09991762787103653,506
0.65,1.2,1.2,0.8,1,0,0.04853500798344612,0.13779407739639282,0.09972915053367615,508
0.65,1.2,0.6,1.5,1,0,0.0013036211021244526,0.18251605331897736,0.09952788054943085,509
0.65,1.2,0.6,0.8,1,0,0.11472340673208237,0.12038975208997726,0.09687403589487076,514
0.65,1.2,0.6,0.8,1,0,0.010164627805352211,0.06061545014381409,0.09648247808218002,515
0.65,1.6,0.6,0.8,1,0,0.11448854953050613,0.14948078989982605,0.09849747270345688,515
0.65,1.6,0.6,0.8,1,0,0.01887701079249382,0.04023831710219383,0.09993959963321686,515
0.65,1.6,0.6,0.8,1,0,0.02110963873565197,0.04242415353655815,0.0993838757276535,515
0.65,0.8,1.2,0.8,0,2,1.5031672716140747,2.4160757064819336,0.6970743536949158,526
0.65,0.8,1.2,0.8,0,2,1.5036249160766602,2.35217022895813,0.7040707468986511,530
0.65,0.8,0.6,0.8,0,2,1.5028011798858643,2.797611713409424,0.7145050764083862,531
0.65,0.8,0.6,0.8,0,2,1.5074275732040405,2.8661458492279053,0.7172484397888184,532
0.65,0.8,1.2,0.8,0,2,1.5049618482589722,2.314098834991455,0.7058310508728027,532
0.65,0.8,0.6,0.8,0,2,1.5008361339569092,2.380898952484131,0.7093797326087952,534
0.65,0.8,1.2,1.5,0,2,1.5006579160690308,1.967199683189392,0.7169821858406067,534
0.65,0.8,1.2,1.5,0,2,1.5011355876922607,1.664381742477417,0.7289811968803406,539
0.65,1.6,1.2,0.8,1,0,0.08807304501533508,0.19508400559425354,0.09861553460359573,539
0.65,0.8,0.6,0.8,0,2,1.5062097311019897,2.1453635692596436,0.6944984793663025,542
0.65,0.8,0.6,0.8,0,2,1.5041842460632324,2.0294249057769775,0.7042877674102783,546
0.5,0.8,0.6,0.8,1,0,0.053653936833143234,0.0670192688703537,0.09972621500492096,550
0.65,0.8,0.6,1.5,0,2,1.5089430809020996,1.65683913230896,0.6987192034721375,553
0.5,1.2,0.6,1.5,1,0,0.1746681183576584,0.17468038201332092,0.0991581603884697,554
0.65,0.8,0.6,0.8,0,2,1.5066312551498413,1.9306926727294922,0.7165994644165039,554
0.65,0.8,0.6,0.8,0,2,1.5103079080581665,1.917961597442627,0.7183709740638733,555
0.5,0.8,0.6,1.5,1,0,0.11171982437372208,0.1347312480211258,0.09833383560180664,560
0.65,0.8,0.6,1.5,0,2,1.5027648210525513,1.620166301727295,0.6891661882400513,560
0.65,0.8,1.2,0.8,0,2,1.5118472576141357,1.7635016441345215,0.7238343358039856,561
0.5,0.8,0.6,1.5,1,0,0.11998651921749115,0.15628865361213684,0.0999561995267868,563
0.65,0.8,0.6,1.5,0,2,1.5110706090927124,1.6235132217407227,0.6834363341331482,563
0.5,0.8,0.6,0.8,1,0,0.009205654263496399,0.026995982974767685,0.09939337521791458,564
0.5,1.2,0.6,0.8,1,0,0.10089848190546036,0.10345234721899033,0.09916715323925018,565
0.65,0.8,1.2,1.5,0,2,1.5115900039672852,1.5237257480621338,0.6907045841217041,565
0.5,0.8,0.6,1.5,1,0,0.1065681129693985,0.1351659595966339,0.0996457189321518,566
