x,y,yaw
0.000000000,0.000000000,0.119202078
0.050000000,-0.000000000,0.111899311
0.100000000,-0.000000000,0.097252980
0.150000000,-0.000000000,0.082521571
0.200000000,-0.000000000,0.067698617
0.250000000,-0.000000000,0.052777724
0.300000000,-0.000000000,0.037752577
0.350000000,-0.000000000,0.022616944
0.400000000,-0.000000000,0.007364687
0.450000000,-0.000000000,-0.008010228
0.500000000,-0.000000000,-0.023513727
0.550000000,-0.000000000,-0.039151608
0.600000000,-0.000000000,-0.054929536
0.650000000,-0.000000000,-0.070853026
0.700000000,-0.000000000,-0.086927427
0.750000000,-0.000000000,-0.103157911
0.799839801,-0.001775869,-0.119549447
0.849032610,-0.010723918,-0.136106791
0.898225419,-0.019671967,-0.152834460
0.947418227,-0.028620016,-0.169736713
0.996611036,-0.037568065,-0.186817527
1.045803844,-0.046516114,-0.204080576
1.094996653,-0.055464163,-0.221529203
1.144189462,-0.064412212,-0.239166395
1.193075505,-0.074494242,-0.255620692
1.240070431,-0.091566937,-0.273197892
1.287065358,-0.108639632,-0.293491856
1.334060284,-0.125712326,-0.314418932
1.381055210,-0.142785021,-0.335805700
1.428050136,-0.159857716,-0.357477088
1.475045063,-0.176930411,-0.379257092
1.522039989,-0.194003105,-0.400969644
1.568794888,-0.211609447,-0.421638536
1.612748395,-0.235444071,-0.441160986
1.656701901,-0.259278694,-0.460353771
1.700655407,-0.283113318,-0.479149778
1.744608914,-0.306947941,-0.497373866
1.788562420,-0.330782565,-0.514852672
1.832515926,-0.354617188,-0.531414331
1.876469433,-0.378451812,-0.546887872
1.920367894,-0.402374147,-0.560942915
1.960945437,-0.431588237,-0.575685310
2.001522980,-0.460802326,-0.591742395
2.042100522,-0.490016416,-0.607331097
2.082678065,-0.519230505,-0.622297519
2.123255608,-0.548444595,-0.636488995
2.163833151,-0.577658684,-0.649753718
2.204410693,-0.606872774,-0.661940113
2.244988236,-0.636086863,-0.672516300
2.282477503,-0.669153033,-0.683617704
2.319816850,-0.702406200,-0.696132435
2.357156198,-0.735659367,-0.708302480
2.394495545,-0.768912535,-0.719992713
2.431834893,-0.802165702,-0.731068553
2.469174240,-0.835418869,-0.741395682
2.506513588,-0.868672036,-0.750839623
2.543852935,-0.901925203,-0.758597946
2.579077508,-0.937396032,-0.766673989
2.614065657,-0.973114786,-0.776267169
2.649053806,-1.008833541,-0.785784319
2.684041956,-1.044552295,-0.795102935
2.719030105,-1.080271049,-0.804100700
2.754018254,-1.115989804,-0.812655323
2.789006403,-1.151708558,-0.820644315
2.823994553,-1.187427312,-0.826877222
2.857058322,-1.224918592,-0.833109987
2.889787223,-1.262718314,-0.840987152
2.922516124,-1.300518037,-0.849211326
2.955245025,-1.338317760,-0.857662850
2.987973926,-1.376117483,-0.866222244
3.020702827,-1.413917205,-0.874770036
3.053431728,-1.451716928,-0.883186629
3.086160629,-1.489516651,-0.890186962
3.116740972,-1.529051988,-0.897026784
3.146814425,-1.568996792,-0.905482871
3.176887879,-1.608941596,-0.914725114
3.206961333,-1.648886401,-0.924565556
3.237034786,-1.688831205,-0.934880917
3.267108240,-1.728776009,-0.945547804
3.297181693,-1.768720814,-0.956442531
3.327255147,-1.808665618,-0.966373695
3.354726278,-1.850407382,-0.975917477
3.381426667,-1.892681360,-0.986650147
3.408127055,-1.934955339,-0.998281080
3.434827443,-1.977229318,-1.010583921
3.461527831,-2.019503296,-1.023424497
3.488228219,-2.061777275,-1.036668103
3.514928607,-2.104051254,-1.050179368
3.541628996,-2.146325232,-1.062928300
3.564742672,-2.190593626,-1.075308803
3.586564261,-2.235580494,-1.088674077
3.608385849,-2.280567361,-1.102825686
3.630207438,-2.325554229,-1.117497100
3.652029027,-2.370541097,-1.132543185
3.673850615,-2.415527965,-1.147818107
3.695672204,-2.460514832,-1.163175399
3.717493792,-2.505501700,-1.177811411
3.735237736,-2.552158251,-1.192192237
3.751234544,-2.599530207,-1.207419103
3.767231351,-2.646902162,-1.223151194
3.783228159,-2.694274117,-1.239066492
3.799224967,-2.741646072,-1.255015121
3.815221775,-2.789018027,-1.270847181
3.831218583,-2.836389982,-1.286412969
3.847215391,-2.883761938,-1.300973143
3.859257020,-2.932203904,-1.315105162
3.869325556,-2.981179659,-1.329932282
3.879394092,-3.030155414,-1.345021691
3.889462629,-3.079131169,-1.359981985
3.899531165,-3.128106924,-1.374666030
3.909599702,-3.177082679,-1.388927320
3.919668238,-3.226058434,-1.402619973
3.929736775,-3.275034189,-1.414971286
3.936392453,-3.324520792,-1.426809594
3.941105635,-3.374298156,-1.439542247
3.945818816,-3.424075519,-1.452599970
3.950531998,-3.473852883,-1.465460373
3.955245179,-3.523630246,-1.477983661
3.959958361,-3.573407610,-1.490030490
3.964671542,-3.623184973,-1.501461794
3.969384724,-3.672962337,-1.511385953
3.971587383,-3.722873930,-1.520646712
3.972208781,-3.772870069,-1.530994084
3.972830179,-3.822866207,-1.541954535
3.973451577,-3.872862346,-1.552901304
3.974072975,-3.922858484,-1.563699683
3.974694373,-3.972854623,-1.574215115
3.975315771,-4.022850761,-1.584313021
3.975937169,-4.072846900,-1.592942655
3.974332889,-4.122787311,-1.600795415
3.971210216,-4.172689705,-1.609893931
3.968087543,-4.222592099,-1.619977990
3.964964870,-4.272494493,-1.630373093
3.961842196,-4.322396887,-1.640944859
3.958719523,-4.372299281,-1.651558928
3.955596850,-4.422201674,-1.662080792
3.952474176,-4.472104068,-1.671433468
