x,y,yaw
0.000000000,0.000000000,0.139275308
0.050000000,0.000000000,0.130643079
0.100000000,0.000000000,0.113354510
0.150000000,0.000000000,0.095982071
0.200000000,0.000000000,0.078509345
0.250000000,0.000000000,0.060920078
0.300000000,0.000000000,0.043198170
0.350000000,0.000000000,0.025327674
0.400000000,0.000000000,0.007292795
0.450000000,0.000000000,-0.010922102
0.500000000,0.000000000,-0.029332485
0.550000000,0.000000000,-0.047953641
0.600000000,0.000000000,-0.066800651
0.650000000,0.000000000,-0.085888365
0.700000000,0.000000000,-0.105231372
0.750000000,0.000000000,-0.124843955
0.799443166,-0.005277180,-0.144740046
0.848342036,-0.015712722,-0.164933172
0.897240906,-0.026148264,-0.185436387
0.946139776,-0.036583806,-0.206262207
0.995038645,-0.047019348,-0.227422524
1.043937515,-0.057454890,-0.248928519
1.092836385,-0.067890432,-0.270790567
1.141735255,-0.078325973,-0.293018123
1.189359943,-0.092664188,-0.314561034
1.234996011,-0.113093315,-0.337555079
1.280632080,-0.133522442,-0.363323936
1.326268148,-0.153951570,-0.390073926
1.371904217,-0.174380697,-0.417594491
1.417540286,-0.194809824,-0.445670064
1.463176354,-0.215238952,-0.474081142
1.508812423,-0.235668079,-0.502605840
1.553075464,-0.258470368,-0.529667216
1.593532214,-0.287851508,-0.555115071
1.633988964,-0.317232648,-0.580405451
1.674445714,-0.346613788,-0.605535579
1.714902464,-0.375994928,-0.630293619
1.755359214,-0.405376068,-0.654470020
1.795815964,-0.434757208,-0.677857565
1.836272714,-0.464138347,-0.700250980
1.875897437,-0.494466764,-0.722062581
1.910252142,-0.530795186,-0.744656211
1.944606847,-0.567123608,-0.767895906
1.978961552,-0.603452030,-0.790687040
2.013316257,-0.639780452,-0.812831560
2.047670962,-0.676108874,-0.834134349
2.082025667,-0.712437296,-0.854402851
2.116380372,-0.748765718,-0.873446174
2.150688276,-0.785131872,-0.891487206
2.178902891,-0.826410625,-0.910158893
2.207117507,-0.867689378,-0.929571888
2.235332123,-0.908968132,-0.948443608
2.263546739,-0.950246885,-0.966595158
2.291761354,-0.991525638,-0.983849653
2.319975970,-1.032804391,-1.000031550
2.348190586,-1.074083144,-1.014965584
2.376405201,-1.115361897,-1.028532563
2.399844243,-1.159483168,-1.042649774
2.422676440,-1.203965646,-1.057862635
2.445508637,-1.248448123,-1.072705472
2.468340834,-1.292930600,-1.087016630
2.491173031,-1.337413077,-1.100635332
2.514005228,-1.381895555,-1.113401178
2.536837425,-1.426378032,-1.125153414
2.559669622,-1.470860509,-1.135308541
2.579430249,-1.516756682,-1.145827485
2.598369064,-1.563031094,-1.157773397
2.617307880,-1.609305507,-1.169685903
2.636246695,-1.655579920,-1.181415739
2.655185511,-1.701854332,-1.192813982
2.674124327,-1.748128745,-1.203731767
2.693063142,-1.794403157,-1.214019903
2.712001958,-1.840677570,-1.222621413
2.728223928,-1.887935945,-1.231344294
2.743309090,-1.935606040,-1.241752826
2.758394252,-1.983276134,-1.252559525
2.773479413,-2.030946228,-1.263620665
2.788564575,-2.078616323,-1.274792758
2.803649737,-2.126286417,-1.285932312
2.818734899,-2.173956511,-1.296895620
2.833820061,-2.221626606,-1.306423028
2.846152841,-2.270033175,-1.315494631
2.856889868,-2.318866731,-1.326063544
2.867626894,-2.367700288,-1.337656951
2.878363921,-2.416533845,-1.349939127
2.889100948,-2.465367402,-1.362761930
2.899837974,-2.514200958,-1.375977074
2.910575001,-2.563034515,-1.389435837
2.921312027,-2.611868072,-1.401798903
2.929036621,-2.661200625,-1.413289098
2.934619179,-2.710887998,-1.425882780
2.940201736,-2.760575372,-1.439746128
2.945784294,-2.810262745,-1.454476954
2.951366851,-2.859950118,-1.469913598
2.956949409,-2.909637491,-1.485893780
2.962531966,-2.959324864,-1.502254205
2.968114524,-3.009012237,-1.517699655
2.970189879,-3.058871148,-1.532359263
2.969482786,-3.108866148,-1.548153814
2.968775693,-3.158861148,-1.565252359
2.968068600,-3.208856148,-1.583162371
2.967361507,-3.258851148,-1.601708785
2.966654414,-3.308846148,-1.620715077
2.965947321,-3.358841148,-1.640003117
2.965240229,-3.408836148,-1.658347964
2.960241770,-3.458433114,-1.675991526
2.951741623,-3.507705292,-1.694820020
2.943241476,-3.556977470,-1.714815116
2.934741329,-3.606249647,-1.735363945
2.926241181,-3.655521825,-1.756279672
2.917741034,-3.704794003,-1.777374134
2.909240887,-3.754066181,-1.798458161
2.900740739,-3.803338358,-1.818368653
2.887668118,-3.851411342,-1.837558023
2.870892845,-3.898513255,-1.857927805
2.854117572,-3.945615168,-1.879205462
2.837342299,-3.992717081,-1.900652128
2.820567026,-4.039818995,-1.922076460
2.803791753,-4.086920908,-1.943287408
2.787016480,-4.134022821,-1.964094662
2.770241207,-4.181124734,-1.983399330
2.749273563,-4.226340357,-2.001948451
2.725150767,-4.270136369,-2.021718117
2.701027970,-4.313932381,-2.042144094
2.676905174,-4.357728393,-2.062355386
2.652782377,-4.401524406,-2.082167756
2.628659581,-4.445320418,-2.101398534
2.604536784,-4.489116430,-2.119866637
2.580413988,-4.532912442,-2.136548859
2.552710655,-4.574395460,-2.152590348
2.522704801,-4.614391068,-2.170119697
2.492698947,-4.654386677,-2.188232483
2.462693092,-4.694382286,-2.205898973
2.432687238,-4.734377894,-2.222950580
2.402681384,-4.774373503,-2.239220200
2.372675530,-4.814369112,-2.254541843
2.342669675,-4.854364720,-2.267979324
2.309685566,-4.891841553,-2.280964160
2.275226338,-4.928070845,-2.295672142
2.240767110,-4.964300137,-2.310959619
2.206307881,-5.000529429,-2.325725895
2.171848653,-5.036758720,-2.339823024
2.137389425,-5.072988012,-2.353104009
2.102930196,-5.109217304,-2.365339650
2.068470968,-5.145446596,-2.375838043
2.031556365,-5.179109076,-2.386109419
1.993834257,-5.211927403,-2.398023177
1.956112149,-5.244745729,-2.410452324
1.918390041,-5.277564056,-2.422386922
1.880667933,-5.310382383,-2.433701144
1.842945825,-5.343200709,-2.444269656
1.805223717,-5.376019036,-2.453842324
1.767501609,-5.408837363,-2.461947549
1.727760495,-5.439151945,-2.470057678
1.687693470,-5.469062370,-2.479625019
1.647626445,-5.498972795,-2.489575314
1.607559420,-5.528883219,-2.499086882
1.567492394,-5.558793644,-2.508055784
1.527425369,-5.588704068,-2.516378314
1.487358344,-5.618614493,-2.523761048
1.447291319,-5.648524917,-2.530012892
1.405565543,-5.676073705,-2.536561854
1.363835004,-5.703615711,-2.544324792
1.322104465,-5.731157718,-2.552285480
1.280373926,-5.758699724,-2.559845862
1.238643387,-5.786241731,-2.566923173
1.196912849,-5.813783738,-2.573433349
1.155182310,-5.841325744,-2.579292645
1.113288860,-5.868607608,-2.584420294
1.070290863,-5.894125686,-2.589911590
1.027292867,-5.919643763,-2.596292697
0.984294870,-5.945161841,-2.602610166
0.941296874,-5.970679919,-2.608488276
0.898298877,-5.996197997,-2.613984249
0.855300881,-6.021716075,-2.619106370
0.812302885,-6.047234153,-2.623632410
0.769077618,-6.072352828,-2.627390992
0.725175944,-6.096282789,-2.631399869
0.681274270,-6.120212749,-2.635980555
0.637372595,-6.144142709,-2.640249212
0.593470921,-6.168072669,-2.644324399
0.549569247,-6.192002629,-2.648174162
0.505667573,-6.215932590,-2.651385676
0.461765898,-6.239862550,-2.653841353
0.417539431,-6.263179842,-2.655510106
0.373094454,-6.286084951,-2.657330084
0.328649477,-6.308990060,-2.659458695
0.284204501,-6.331895170,-2.661089420
0.239759524,-6.354800279,-2.662795688
0.195314547,-6.377705388,-2.664581217
0.150869570,-6.400610497,-2.665681506
0.106422223,-6.423511007,-2.665910693
0.061972523,-6.446406949,-2.665369340
0.017522823,-6.469302890,-2.664776420
-0.026926878,-6.492198832,-2.664181114
-0.071376578,-6.515094773,-2.663020041
-0.115826279,-6.537990715,-2.661671274
-0.160275979,-6.560886656,-2.660183529
-0.204527897,-6.584159452,-2.658093962
-0.248621764,-6.607733396,-2.655273582
-0.292715632,-6.631307340,-2.651895738
-0.336809500,-6.654881283,-2.648471281
-0.380903368,-6.678455227,-2.644982879
-0.424997236,-6.702029171,-2.641080342
-0.469091104,-6.725603114,-2.637065482
-0.512663843,-6.750121280,-2.633017414
-0.556112948,-6.774863456,-2.628608056
-0.599562053,-6.799605632,-2.623735831
-0.643011158,-6.824347808,-2.618670082
-0.686460263,-6.849089985,-2.613648428
-0.729909367,-6.873832161,-2.608547892
-0.773358472,-6.898574337,-2.603396542
-0.816807577,-6.923316513,-2.598653118
-0.859142772,-6.949897820,-2.594122103
-0.901197171,-6.976942736,-2.589310838
-0.943251571,-7.003987652,-2.584271771
-0.985305970,-7.031032568,-2.579057699
-1.027360370,-7.058077485,-2.573718308
-1.069414769,-7.085122401,-2.568341262
-1.111469168,-7.112167317,-2.563587862
-1.153523568,-7.139212233,-2.559329123
-1.194830403,-7.167375301,-2.554869104
-1.235894702,-7.195901138,-2.550127071
-1.276959001,-7.224426975,-2.545023814
-1.318023300,-7.252952811,-2.539714897
-1.359087598,-7.281478648,-2.534352494
-1.400151897,-7.310004485,-2.529449998
-1.441216196,-7.338530322,-2.525212876
-1.482280495,-7.367056159,-2.521097982
-1.522762435,-7.396395688,-2.516514190
-1.563009090,-7.426063967,-2.511377734
-1.603255745,-7.455732246,-2.506033942
-1.643502400,-7.485400525,-2.500617675
-1.683749054,-7.515068804,-2.495506378
-1.723995709,-7.544737083,-2.490984422
-1.764242364,-7.574405362,-2.486677123
-1.804230650,-7.604409574,-2.482308362
-1.843234718,-7.635693480,-2.477230455
-1.882238785,-7.666977385,-2.471198697
-1.921242853,-7.698261290,-2.464833206
-1.960246920,-7.729545195,-2.458486596
-1.999250987,-7.760829101,-2.452466214
-2.038255055,-7.792113006,-2.446604413
-2.077169189,-7.823503691,-2.440633678
-2.114629457,-7.856620579,-2.434623819
-2.152089726,-7.889737466,-2.428192336
-2.189549995,-7.922854354,-2.421176500
-2.227010264,-7.955971242,-2.413981048
-2.264470533,-7.989088130,-2.406922426
-2.301930802,-8.022205018,-2.400087454
-2.339391071,-8.055321905,-2.393362376
-2.375718996,-8.089655503,-2.386745191
-2.411437837,-8.124643563,-2.380300556
-2.447156679,-8.159631623,-2.373757584
-2.482875520,-8.194619683,-2.366981903
-2.518594362,-8.229607744,-2.360255682
-2.554313203,-8.264595804,-2.353583961
-2.590032045,-8.299583864,-2.347092035
-2.624931446,-8.335372532,-2.341040919
-2.659079709,-8.371895074,-2.335484524
-2.693227973,-8.408417616,-2.330334793
-2.727376237,-8.444940159,-2.325078571
-2.761524500,-8.481462701,-2.319780779
-2.795672764,-8.517985243,-2.314760855
-2.829821028,-8.554507785,-2.309853741
-2.863585177,-8.591378642,-2.305355218
-2.896603358,-8.628925941,-2.301601045
-2.929621539,-8.666473241,-2.298580312
-2.962639720,-8.704020541,-2.295563826
-2.995657901,-8.741567841,-2.292480592
-3.028676082,-8.779115141,-2.289971354
-3.061694263,-8.816662440,-2.288122685
-3.094712444,-8.854209740,-2.286979415
-3.127357882,-8.892080277,-2.286482610
-3.159853520,-8.930080718,-2.286616194
-3.192349157,-8.968081160,-2.286846682
-3.224844795,-9.006081601,-2.286791460
-3.257340432,-9.044082043,-2.286866618
-3.289836069,-9.082082484,-2.287330765
-3.322331707,-9.120082926,-2.288362394
-3.354897996,-9.158022081,-2.289949592
-3.387926949,-9.195559905,-2.291903571
-3.420955903,-9.233097729,-2.293840100
