x,y,yaw
0.000000000,0.000000000,-0.000000000
0.050000000,-0.000000000,-0.000000000
0.100000000,-0.000000000,-0.000000000
0.150000000,-0.000000000,-0.000000000
0.200000000,-0.000000000,-0.000000000
0.250000000,-0.000000000,-0.000000000
0.300000000,-0.000000000,-0.000000000
0.350000000,-0.000000000,-0.000000000
0.400000000,-0.000000000,-0.000000000
0.450000000,-0.000000000,-0.000000000
0.500000000,-0.000000000,-0.000000000
0.550000000,-0.000000000,-0.000000000
0.600000000,-0.000000000,-0.000000000
0.650000000,-0.000000000,-0.000000000
0.700000000,-0.000000000,-0.000000000
0.750000000,-0.000000000,-0.000000000
0.799839801,-0.001775869,-0.035616477
0.849032610,-0.010723918,-0.179930279
0.898225419,-0.019671967,-0.179930279
0.947418227,-0.028620016,-0.179930279
0.996611036,-0.037568065,-0.179930279
1.045803844,-0.046516114,-0.179930279
1.094996653,-0.055464163,-0.179930279
1.144189462,-0.064412212,-0.179930279
1.193075505,-0.074494242,-0.203383849
1.240070431,-0.091566937,-0.348463326
1.287065358,-0.108639632,-0.348463326
1.334060284,-0.125712326,-0.348463326
1.381055210,-0.142785021,-0.348463326
1.428050136,-0.159857716,-0.348463326
1.475045063,-0.176930411,-0.348463326
1.522039989,-0.194003105,-0.348463326
1.568794888,-0.211609447,-0.360143583
1.612748395,-0.235444071,-0.496888324
1.656701901,-0.259278694,-0.496888324
1.700655407,-0.283113318,-0.496888324
1.744608914,-0.306947941,-0.496888324
1.788562420,-0.330782565,-0.496888324
1.832515926,-0.354617188,-0.496888324
1.876469433,-0.378451812,-0.496888324
1.920367894,-0.402374147,-0.498955485
1.960945437,-0.431588237,-0.623994791
2.001522980,-0.460802326,-0.623994791
2.042100522,-0.490016416,-0.623994791
2.082678065,-0.519230505,-0.623994791
2.123255608,-0.548444595,-0.623994791
2.163833151,-0.577658684,-0.623994791
2.204410693,-0.606872774,-0.623994791
2.244988236,-0.636086863,-0.623994791
2.282477503,-0.669153033,-0.722790427
2.319816850,-0.702406200,-0.727578636
2.357156198,-0.735659367,-0.727578636
2.394495545,-0.768912535,-0.727578636
2.431834893,-0.802165702,-0.727578636
2.469174240,-0.835418869,-0.727578636
2.506513588,-0.868672036,-0.727578636
2.543852935,-0.901925203,-0.727578636
2.579077508,-0.937396032,-0.788881485
2.614065657,-0.973114786,-0.795730664
2.649053806,-1.008833541,-0.795730664
2.684041956,-1.044552295,-0.795730664
2.719030105,-1.080271049,-0.795730664
2.754018254,-1.115989804,-0.795730664
2.789006403,-1.151708558,-0.795730664
2.823994553,-1.187427312,-0.795730664
2.857058322,-1.224918592,-0.848068552
2.889787223,-1.262718314,-0.857172018
2.922516124,-1.300518037,-0.857172018
2.955245025,-1.338317760,-0.857172018
2.987973926,-1.376117483,-0.857172018
3.020702827,-1.413917205,-0.857172018
3.053431728,-1.451716928,-0.857172018
3.086160629,-1.489516651,-0.857172018
3.116740972,-1.529051988,-0.912427882
3.146814425,-1.568996792,-0.925457611
3.176887879,-1.608941596,-0.925457611
3.206961333,-1.648886401,-0.925457611
3.237034786,-1.688831205,-0.925457611
3.267108240,-1.728776009,-0.925457611
3.297181693,-1.768720814,-0.925457611
3.327255147,-1.808665618,-0.925457611
3.354726278,-1.850407382,-0.988733305
3.381426667,-1.892681360,-1.007462594
3.408127055,-1.934955339,-1.007462594
3.434827443,-1.977229318,-1.007462594
3.461527831,-2.019503296,-1.007462594
3.488228219,-2.061777275,-1.007462594
3.514928607,-2.104051254,-1.007462594
3.541628996,-2.146325232,-1.007462594
3.564742672,-2.190593626,-1.089605052
3.586564261,-2.235580494,-1.119167341
3.608385849,-2.280567361,-1.119167341
3.630207438,-2.325554229,-1.119167341
3.652029027,-2.370541097,-1.119167341
3.673850615,-2.415527965,-1.119167341
3.695672204,-2.460514832,-1.119167341
3.717493792,-2.505501700,-1.119167341
3.735237736,-2.552158251,-1.207378644
3.751234544,-2.599530207,-1.245134224
3.767231351,-2.646902162,-1.245134224
3.783228159,-2.694274117,-1.245134224
3.799224967,-2.741646072,-1.245134224
3.815221775,-2.789018027,-1.245134224
3.831218583,-2.836389982,-1.245134224
3.847215391,-2.883761938,-1.245134224
3.859257020,-2.932203904,-1.327156045
3.869325556,-2.981179659,-1.368039211
3.879394092,-3.030155414,-1.368039211
3.889462629,-3.079131169,-1.368039211
3.899531165,-3.128106924,-1.368039211
3.909599702,-3.177082679,-1.368039211
3.919668238,-3.226058434,-1.368039211
3.929736775,-3.275034189,-1.368039211
3.936392453,-3.324520792,-1.437104036
3.941105635,-3.374298156,-1.476392537
3.945818816,-3.424075519,-1.476392537
3.950531998,-3.473852883,-1.476392537
3.955245179,-3.523630246,-1.476392537
3.959958361,-3.573407610,-1.476392537
3.964671542,-3.623184973,-1.476392537
3.969384724,-3.672962337,-1.476392537
3.971587383,-3.722873930,-1.526693730
3.972208781,-3.772870069,-1.558368047
3.972830179,-3.822866207,-1.558368047
3.973451577,-3.872862346,-1.558368047
3.974072975,-3.922858484,-1.558368047
3.974694373,-3.972854623,-1.558368047
3.975315771,-4.022850761,-1.558368047
3.975937169,-4.072846900,-1.558368047
3.974332889,-4.122787311,-1.602909157
3.971210216,-4.172689705,-1.633290464
3.968087543,-4.222592099,-1.633290464
3.964964870,-4.272494493,-1.633290464
3.961842196,-4.322396887,-1.633290464
3.958719523,-4.372299281,-1.633290464
3.955596850,-4.422201674,-1.633290464
3.952474176,-4.472104068,-1.633290464
3.947017436,-4.521765078,-1.680237057
3.939861636,-4.571250374,-1.714405442
3.932705836,-4.620735670,-1.714405442
3.925550036,-4.670220966,-1.714405442
3.918394236,-4.719706262,-1.714405442
3.911238436,-4.769191558,-1.714405442
3.904082636,-4.818676854,-1.714405442
3.896926836,-4.868162150,-1.714405442
3.887009199,-4.917106262,-1.770721233
3.874959523,-4.965632598,-1.814185739
3.862909848,-5.014158934,-1.814185739
3.850860172,-5.062685270,-1.814185739
3.838810496,-5.111211607,-1.814185739
3.826760820,-5.159737943,-1.814185739
3.814711144,-5.208264279,-1.814185739
3.802661468,-5.256790615,-1.814185739
3.787315928,-5.304282853,-1.883323983
3.769483917,-5.350994943,-1.935465483
3.751651906,-5.397707033,-1.935465483
3.733819895,-5.444419123,-1.935465483
3.715987883,-5.491131213,-1.935465483
3.698155872,-5.537843304,-1.935465483
3.680323861,-5.584555394,-1.935465483
3.662491849,-5.631267484,-1.935465483
3.641380612,-5.676495283,-2.007513017
3.618051770,-5.720719316,-2.056212886
3.594722928,-5.764943350,-2.056212886
3.571394086,-5.809167383,-2.056212886
3.548065244,-5.853391416,-2.056212886
3.524736402,-5.897615450,-2.056212886
3.501407560,-5.941839483,-2.056212886
3.478078719,-5.986063517,-2.056212886
3.452005923,-6.028663198,-2.120023243
3.424455203,-6.070387985,-2.154375668
3.396904483,-6.112112771,-2.154375668
3.369353762,-6.153837558,-2.154375668
3.341803042,-6.195562344,-2.154375668
3.314252322,-6.237287131,-2.154375668
3.286701601,-6.279011917,-2.154375668
3.259150881,-6.320736704,-2.154375668
3.229080195,-6.360638573,-2.216607654
3.198073064,-6.399863027,-2.239720819
3.167065933,-6.439087482,-2.239720819
3.136058802,-6.478311936,-2.239720819
3.105051670,-6.517536390,-2.239720819
3.074044539,-6.556760845,-2.239720819
3.043037408,-6.595985299,-2.239720819
3.012030277,-6.635209753,-2.239720819
2.978164983,-6.671953872,-2.315445944
2.943698644,-6.708176399,-2.331355699
2.909232304,-6.744398925,-2.331355699
2.874765965,-6.780621452,-2.331355699
2.840299625,-6.816843979,-2.331355699
2.805833285,-6.853066505,-2.331355699
2.771366946,-6.889289032,-2.331355699
2.736900606,-6.925511559,-2.331355699
2.699139100,-6.958262144,-2.427139926
2.661166500,-6.990790310,-2.433266698
2.623193899,-7.023318477,-2.433266698
2.585221299,-7.055846643,-2.433266698
2.547248698,-7.088374809,-2.433266698
2.509276097,-7.120902976,-2.433266698
2.471303497,-7.153431142,-2.433266698
2.433117446,-7.185685559,-2.440204050
2.392313197,-7.214582156,-2.525400375
