x,y,yaw
0.000000000,0.000000000,0.000000000
0.050000000,0.000000000,0.000000000
0.100000000,0.000000000,0.000000000
0.150000000,0.000000000,0.000000000
0.200000000,0.000000000,0.000000000
0.250000000,0.000000000,0.000000000
0.300000000,0.000000000,0.000000000
0.350000000,0.000000000,0.000000000
0.400000000,0.000000000,0.000000000
0.450000000,0.000000000,0.000000000
0.500000000,0.000000000,0.000000000
0.550000000,0.000000000,0.000000000
0.600000000,0.000000000,0.000000000
0.650000000,0.000000000,0.000000000
0.700000000,0.000000000,0.000000000
0.750000000,0.000000000,0.000000000
0.799443166,-0.005277180,-0.106329702
0.848342036,-0.015712722,-0.210256582
0.897240906,-0.026148264,-0.210256582
0.946139776,-0.036583806,-0.210256582
0.995038645,-0.047019348,-0.210256582
1.043937515,-0.057454890,-0.210256582
1.092836385,-0.067890432,-0.210256582
1.141735255,-0.078325973,-0.210256582
1.189359943,-0.092664188,-0.292435253
1.234996011,-0.113093315,-0.420900526
1.280632080,-0.133522442,-0.420900526
1.326268148,-0.153951570,-0.420900526
1.371904217,-0.174380697,-0.420900526
1.417540286,-0.194809824,-0.420900526
1.463176354,-0.215238952,-0.420900526
1.508812423,-0.235668079,-0.420900526
1.553075464,-0.258470368,-0.475697293
1.593532214,-0.287851508,-0.628117741
1.633988964,-0.317232648,-0.628117741
1.674445714,-0.346613788,-0.628117741
1.714902464,-0.375994928,-0.628117741
1.755359214,-0.405376068,-0.628117741
1.795815964,-0.434757208,-0.628117741
1.836272714,-0.464138347,-0.628117741
1.875897437,-0.494466764,-0.653278949
1.910252142,-0.530795186,-0.813314363
1.944606847,-0.567123608,-0.813314363
1.978961552,-0.603452030,-0.813314363
2.013316257,-0.639780452,-0.813314363
2.047670962,-0.676108874,-0.813314363
2.082025667,-0.712437296,-0.813314363
2.116380372,-0.748765718,-0.813314363
2.150688276,-0.785131872,-0.814513079
2.178902891,-0.826410625,-0.971220528
2.207117507,-0.867689378,-0.971220528
2.235332123,-0.908968132,-0.971220528
2.263546739,-0.950246885,-0.971220528
2.291761354,-0.991525638,-0.971220528
2.319975970,-1.032804391,-0.971220528
2.348190586,-1.074083144,-0.971220528
2.376405201,-1.115361897,-0.971220528
2.399844243,-1.159483168,-1.082469152
2.422676440,-1.203965646,-1.096577138
2.445508637,-1.248448123,-1.096577138
2.468340834,-1.292930600,-1.096577138
2.491173031,-1.337413077,-1.096577138
2.514005228,-1.381895555,-1.096577138
2.536837425,-1.426378032,-1.096577138
2.559669622,-1.470860509,-1.096577138
2.579430249,-1.516756682,-1.164233635
2.598369064,-1.563031094,-1.182322597
2.617307880,-1.609305507,-1.182322597
2.636246695,-1.655579920,-1.182322597
2.655185511,-1.701854332,-1.182322597
2.674124327,-1.748128745,-1.182322597
2.693063142,-1.794403157,-1.182322597
2.712001958,-1.840677570,-1.182322597
2.728223928,-1.887935945,-1.240137401
2.743309090,-1.935606040,-1.264317691
2.758394252,-1.983276134,-1.264317691
2.773479413,-2.030946228,-1.264317691
2.788564575,-2.078616323,-1.264317691
2.803649737,-2.126286417,-1.264317691
2.818734899,-2.173956511,-1.264317691
2.833820061,-2.221626606,-1.264317691
2.846152841,-2.270033175,-1.321328686
2.856889868,-2.318866731,-1.354370171
2.867626894,-2.367700288,-1.354370171
2.878363921,-2.416533845,-1.354370171
2.889100948,-2.465367402,-1.354370171
2.899837974,-2.514200958,-1.354370171
2.910575001,-2.563034515,-1.354370171
2.921312027,-2.611868072,-1.354370171
2.929036621,-2.661200625,-1.415475430
2.934619179,-2.710887998,-1.458911893
2.940201736,-2.760575372,-1.458911893
2.945784294,-2.810262745,-1.458911893
2.951366851,-2.859950118,-1.458911893
2.956949409,-2.909637491,-1.458911893
2.962531966,-2.959324864,-1.458911893
2.968114524,-3.009012237,-1.458911893
2.970189879,-3.058871148,-1.529195779
2.969482786,-3.108866148,-1.584938656
2.968775693,-3.158861148,-1.584938656
2.968068600,-3.208856148,-1.584938656
2.967361507,-3.258851148,-1.584938656
2.966654414,-3.308846148,-1.584938656
2.965947321,-3.358841148,-1.584938656
2.965240229,-3.408836148,-1.584938656
2.960241770,-3.458433114,-1.671238710
2.951741623,-3.507705292,-1.741628985
2.943241476,-3.556977470,-1.741628985
2.934741329,-3.606249647,-1.741628985
2.926241181,-3.655521825,-1.741628985
2.917741034,-3.704794003,-1.741628985
2.909240887,-3.754066181,-1.741628985
2.900740739,-3.803338358,-1.741628985
2.887668118,-3.851411342,-1.836308771
2.870892845,-3.898513255,-1.912938064
2.854117572,-3.945615168,-1.912938064
2.837342299,-3.992717081,-1.912938064
2.820567026,-4.039818995,-1.912938064
2.803791753,-4.086920908,-1.912938064
2.787016480,-4.134022821,-1.912938064
2.770241207,-4.181124734,-1.912938064
2.749273563,-4.226340357,-2.005005697
2.725150767,-4.270136369,-2.074252708
2.701027970,-4.313932381,-2.074252708
2.676905174,-4.357728393,-2.074252708
2.652782377,-4.401524406,-2.074252708
2.628659581,-4.445320418,-2.074252708
2.604536784,-4.489116430,-2.074252708
2.580413988,-4.532912442,-2.074252708
2.552710655,-4.574395460,-2.159599372
2.522704801,-4.614391068,-2.214443799
2.492698947,-4.654386677,-2.214443799
2.462693092,-4.694382286,-2.214443799
2.432687238,-4.734377894,-2.214443799
2.402681384,-4.774373503,-2.214443799
2.372675530,-4.814369112,-2.214443799
2.342669675,-4.854364720,-2.214443799
2.309685566,-4.891841553,-2.292518783
2.275226338,-4.928070845,-2.331159398
2.240767110,-4.964300137,-2.331159398
2.206307881,-5.000529429,-2.331159398
2.171848653,-5.036758720,-2.331159398
2.137389425,-5.072988012,-2.331159398
2.102930196,-5.109217304,-2.331159398
2.068470968,-5.145446596,-2.331159398
2.031556365,-5.179109076,-2.402240939
1.993834257,-5.211927403,-2.425600139
1.956112149,-5.244745729,-2.425600139
1.918390041,-5.277564056,-2.425600139
1.880667933,-5.310382383,-2.425600139
1.842945825,-5.343200709,-2.425600139
1.805223717,-5.376019036,-2.425600139
1.767501609,-5.408837363,-2.425600139
1.727760495,-5.439151945,-2.489948784
1.687693470,-5.469062370,-2.500329055
1.647626445,-5.498972795,-2.500329055
1.607559420,-5.528883219,-2.500329055
1.567492394,-5.558793644,-2.500329055
1.527425369,-5.588704068,-2.500329055
1.487358344,-5.618614493,-2.500329055
1.447291319,-5.648524917,-2.500329055
1.405565543,-5.676073705,-2.558056482
1.363835004,-5.703615711,-2.558222134
1.322104465,-5.731157718,-2.558222134
1.280373926,-5.758699724,-2.558222134
1.238643387,-5.786241731,-2.558222134
1.196912849,-5.813783738,-2.558222134
1.155182310,-5.841325744,-2.558222134
1.113288860,-5.868607608,-2.564360086
1.070290863,-5.894125686,-2.605987479
1.027292867,-5.919643763,-2.605987479
0.984294870,-5.945161841,-2.605987479
0.941296874,-5.970679919,-2.605987479
0.898298877,-5.996197997,-2.605987479
0.855300881,-6.021716075,-2.605987479
0.812302885,-6.047234153,-2.605987479
0.769077618,-6.072352828,-2.615177967
0.725175944,-6.096282789,-2.642534015
0.681274270,-6.120212749,-2.642534015
0.637372595,-6.144142709,-2.642534015
0.593470921,-6.168072669,-2.642534015
0.549569247,-6.192002629,-2.642534015
0.505667573,-6.215932590,-2.642534015
0.461765898,-6.239862550,-2.642534015
0.417539431,-6.263179842,-2.656403126
0.373094454,-6.286084951,-2.665733650
0.328649477,-6.308990060,-2.665733650
0.284204501,-6.331895170,-2.665733650
0.239759524,-6.354800279,-2.665733650
0.195314547,-6.377705388,-2.665733650
0.150869570,-6.400610497,-2.665733650
0.106422223,-6.423511007,-2.665837123
0.061972523,-6.446406949,-2.665939911
0.017522823,-6.469302890,-2.665939911
-0.026926878,-6.492198832,-2.665939911
-0.071376578,-6.515094773,-2.665939911
-0.115826279,-6.537990715,-2.665939911
-0.160275979,-6.560886656,-2.665939911
-0.204527897,-6.584159452,-2.657427756
-0.248621764,-6.607733396,-2.650625666
-0.292715632,-6.631307340,-2.650625666
-0.336809500,-6.654881283,-2.650625666
-0.380903368,-6.678455227,-2.650625666
-0.424997236,-6.702029171,-2.650625666
